url,id,region,province,locality,zip_code,Longitude,Latitude,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state,energy_type,EPC_score,EnergyConsumptionPerSqm,parking_outdoor,parking_indoor,price_per_sqm
https://www.immoweb.be/en/classified/duplex/for-sale/wevelgem/8560/11173661,11173661.0,Flanders,West Flanders,Wevelgem,8560.0,,,APARTMENT,DUPLEX,239000.0,2.0,98.0,unknown,,,1,5.0,0,0.0,0.0,2.0,,GOOD,GAS,C,236.0,,,2438.78
https://www.immoweb.be/en/classified/penthouse/for-sale/harelbeke/8530/11173660,11173660.0,Flanders,West Flanders,Harelbeke,8530.0,,,APARTMENT,PENTHOUSE,465000.0,2.0,89.0,unknown,,,1,23.0,0,0.0,0.0,2.0,,GOOD,GAS,B,106.0,,,5224.72
https://www.immoweb.be/en/classified/apartment/for-sale/aalter/9880/11173654,11173654.0,Flanders,East Flanders,Aalter,9880.0,3.449541,51.08632,APARTMENT,APARTMENT,220000.0,1.0,69.0,unknown,,,0,0.0,0,0.0,0.0,2.0,,unknown,unknown,A,91.0,,,3188.41
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11173649,11173649.0,Flanders,East Flanders,Gent,9000.0,3.7329012,51.0498266,APARTMENT,APARTMENT,215000.0,1.0,68.0,unknown,,,0,0.0,0,0.0,0.0,2.0,,unknown,unknown,B,190.0,,,3161.76
https://www.immoweb.be/en/classified/apartment/for-sale/gembloux/5030/11173642,11173642.0,Wallonie,Namur,Gembloux,5030.0,4.6937226,50.5675718,APARTMENT,APARTMENT,169000.0,1.0,75.0,INSTALLED,,,1,7.0,0,0.0,0.0,2.0,,unknown,GAS,B,96.0,,,2253.33
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen%20%282018%29/2018/11173638,11173638.0,Flanders,Antwerp,Antwerpen (2018),2018.0,4.3907475,51.2010172,APARTMENT,APARTMENT,285000.0,2.0,75.0,unknown,,,1,0.0,0,0.0,0.0,2.0,,AS_NEW,GAS,B,122.0,1.0,,3800.0
https://www.immoweb.be/en/classified/flat-studio/for-sale/hoboken/2660/11173631,11173631.0,Flanders,Antwerp,Hoboken,2660.0,4.3685056,51.186252,APARTMENT,FLAT_STUDIO,109000.0,1.0,44.0,INSTALLED,,,0,0.0,0,0.0,0.0,2.0,,unknown,GAS,B,119.0,,,2477.27
https://www.immoweb.be/en/classified/apartment/for-sale/diest/3290/11173624,11173624.0,Flanders,Flemish Brabant,Diest,3290.0,5.058534,50.989243,APARTMENT,APARTMENT,365000.0,3.0,94.0,HYPER_EQUIPPED,,,1,16.0,0,0.0,0.0,2.0,,unknown,GAS,A,64.0,2.0,,3882.98
https://www.immoweb.be/en/classified/apartment/for-sale/sint-truiden/3800/11173620,11173620.0,Flanders,Limburg,Sint-Truiden,3800.0,5.1874336,50.8140339,APARTMENT,APARTMENT,245000.0,2.0,105.0,INSTALLED,,,1,10.0,0,0.0,0.0,2.0,,unknown,unknown,B,135.0,,,2333.33
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen%20%282000%29/2000/11173617,11173617.0,Flanders,Antwerp,Antwerpen (2000),2000.0,4.3972133,51.2083316,APARTMENT,APARTMENT,759000.0,3.0,155.0,HYPER_EQUIPPED,,,0,0.0,0,0.0,0.0,2.0,,AS_NEW,unknown,B,171.0,,,4896.77
